"HAPUS ISI TABEL, ISI TABEL HANYA DUMMY, copy dari sheet konten plan kamu lalu pase dengan CTRL+SHIFT+V",,,,,,,,
,,,,,,,,
Headline,Pillar,Platform,Status,PIC,Tanggal Posting,Link Script,Link hasil konten,Link Posting
Ucapan tahun baru,Engagement,Instagram,Selesai di Upload,Dinur,1 Januari 2025,,,
Promosi Kelas Batch 6,Promotion,Instagram,Selesai di Upload,Dinur,2 Januari 2025,,,
Tahun Baru Perlu Resolusi Baru,Engagement,Instagram,Selesai di Upload,Dinur,3 Januari 2025,,,
Cuma di Snail: Alumni Nanya Cara Bikin Ratecard Langsung Dibikinin Template,Promotion,Instagram,Selesai di Upload,Leni,4 Januari 2025,,,
"Semua anak Sosmed
WAJIB Banget punya 5 Skill ini!",Education,Instagram,Selesai di Upload,Dinur,5 Januari 2025,,,
Anak Sosmed yang mau ngajuin Cuti,Engagement,Instagram,Selesai di Upload,Dinur,6 Januari 2025,,,
Social Media Management vs Digital Marketing,Education,Instagram,Selesai di Upload,Dinur,7 Januari 2025,,,
"STOP DENGERIN
APA KATA MEREKA
TENTANG SNAIL MINI BOOTCAMP",Social Proof,Instagram,Selesai di Upload,Dinur,8 Januari 2025,,,
Meme Mana Ada Radit & Yono,Engagement,Instagram,Selesai di Upload,Dinur,9 Januari 2025,,,
Snail Mini Bootcamp Batch #7 Early Bid (Hardselling),Promotion,Instagram,Selesai di Upload,Dinur,9 Januari 2025,,,
,,,Writing,Dinur,10 Januari 2025,,,
Top 5 Blunder-nya Anak Sosmed,Engagement,Instagram,Selesai di Upload,Nouval,11 Januari 2025,,,
Bedah Copywriting Kopi Kenangan,Education,Instagram,Selesai di Upload,Nouval,12 Januari 2025,,,
POV Dompet Kering,Engagement,Instagram,Selesai di Upload,Yuvina,13 Januari 2025,,,
"Sad but true,",Engagement,Instagram,Selesai di Upload,Leni,14 Januari 2025,,,
Sebuah Profesi yang sering dikenal dengan Profesi PALUGADA,Promotion,Instagram,Selesai di Upload,Dinur,16 Januari 2025,,,
POV anak baru magang,Engagement,Instagram,Selesai di Upload,Widanti,17 Januari 2025,,,
"Sad but True,  Pekerjaan Anak Sosmed 2025",Engagement,Tiktok,Selesai di Upload,Dinur,18 Januari 2025,,,
"""Anak Sosmed tidak bercerita tapi dikit-dikit ngeluh

(tulisan sub headline kecil)
""Kebanyakan ngeluh pas di transfer malah langsung seneng.”

",Engagement,Instagram,Selesai di Upload,Siti Hajar,18 Januari 2025,,,
Sebutkan 1 kesalahan saat handle akun client,Engagement,Tiktok,Selesai di Upload,Dinur,19 Januari 2025,,,
Brand Wajib Eksis di Semua Platform Sosmed,Education,Instagram,Selesai di Upload,Widanti,19 Januari 2025,,,
"Ketika mau jadi social media specialist dan dikelilingi oleh orang-orang yang tepat
",Engagement,Instagram,Selesai di Upload,Siti Hajar,20 Januari 2025,,,
"Keliatan gampang? Padahal tiap hari drama klien!
",Story Telling,Tiktok,Selesai di Upload,Riana,20 Januari 2025,,,
IG mengubah tampilan feed,Engagement,Instagram,Selesai di Upload,Widanti,21 Januari 2025,,,
Trend squidgame,Engagement,Tiktok,Selesai di Upload,Riana,21 Januari 2025,,,
Ini dia perubahan fitur Instagram yang harus kamu tahu.,Education,Instagram,Selesai di Upload,Siti Hajar,22 Januari 2025,,,
Parodi Garam & Madu ala Socmed Specialist,Engagement,Tiktok,Selesai di Upload,Riana,22 Januari 2025,,,
main hp terooosss,Engagement,Instagram,Selesai di Upload,Widanti,23 Januari 2025,,,
Stigma Tentang Anak Sosmed,Engagement,Tiktok,Selesai di Upload,Dinur,23 Januari 2025,,,
"Dokumen penting ini harus kamu persiapkan, sebelum jadi social media specialist
",Education,Instagram,Selesai di Upload,Siti Hajar,24 Januari 2025,,,
Kalau kalian mau jadi Social Media specialist,Engagement,Tiktok,Selesai di Upload,Dinur,24 Januari 2025,,,
Yang bikin anak sosmed seneng,Engagement,Instagram,Selesai di Upload,Widanti,25 Januari 2025,,,
Gak akan nyesel ikut bootcamp,Promotion,Tiktok,Selesai di Upload,Dinur,25 Januari 2025,,,
Branding VS Pencitraan,Education,Instagram,Selesai di Upload,Siti Hajar,26 Januari 2025,,,
Tools anak Socmed,Engagement,Tiktok,Selesai di Upload,Dinur,26 Januari 2025,,,
Fundamental Metrics yang jarang anak sosmed paham,Education,Instagram,Selesai di Upload,Dinur,27 Januari 2025,,,
